,x_R_L,x_C_L,x_L_1,x_g_m,Q,wo,bandwidth,K_BP
26,200.00000000000003,1e-13,1.6681005372000558e-10,0.021544346900318832,0.359,117952520155.509,328255940220.713,30.464
27,200.00000000000003,1e-13,1.6681005372000558e-10,0.03593813663804626,0.421,91326352637.124,216810053720.006,46.123
28,200.00000000000003,1e-13,1.6681005372000558e-10,0.05994842503189409,0.471,70710678118.655,150000000000.0,66.667
29,200.00000000000003,1e-13,1.6681005372000558e-10,0.1,0.498,54748710045.029,109948425031.894,90.952
30,200.00000000000003,1e-13,2.1544346900318867e-10,0.001,0.103,481746241999.498,4691588833612.773,2.131
31,200.00000000000003,1e-13,2.1544346900318867e-10,0.0016681005372000592,0.132,372998619448.324,2832559402207.121,3.53
32,200.00000000000003,1e-13,2.1544346900318867e-10,0.0027825594022071257,0.168,288799284729.036,1718100537200.056,5.82
33,200.00000000000003,1e-13,2.1544346900318867e-10,0.004641588833612777,0.213,223606797749.979,1049999999999.999,9.524
34,200.00000000000003,1e-13,2.1544346900318867e-10,0.007742636826811269,0.267,173130622698.433,649484250318.94,15.397
35,200.00000000000003,1e-13,2.1544346900318867e-10,0.01291549665014884,0.327,134048753515.365,409381366380.462,24.427
36,200.00000000000003,1e-13,2.1544346900318867e-10,0.021544346900318832,0.391,103789081555.621,265443469003.188,37.673
37,200.00000000000003,1e-13,2.1544346900318867e-10,0.03593813663804626,0.449,80360116507.347,179154966501.488,55.818
38,200.00000000000003,1e-13,2.1544346900318867e-10,0.05994842503189409,0.488,62219919747.663,127426368268.113,78.477
39,200.00000000000003,1e-13,2.1544346900318867e-10,0.1,0.5,48174624199.95,96415888336.128,103.717
40,200.00000000000003,1e-13,2.782559402207126e-10,0.001,0.116,423899378615.057,3643813663804.625,2.744
41,200.00000000000003,1e-13,2.782559402207126e-10,0.0016681005372000592,0.149,328209893972.735,2204434690031.882,4.536
42,200.00000000000003,1e-13,2.782559402207126e-10,0.0027825594022071257,0.189,254121001199.712,1341549665014.883,7.454
43,200.00000000000003,1e-13,2.782559402207126e-10,0.004641588833612777,0.239,196756662235.504,824263682681.127,12.132
44,200.00000000000003,1e-13,2.782559402207126e-10,0.007742636826811269,0.296,152341537894.508,514158883361.278,19.449
45,200.00000000000003,1e-13,2.782559402207126e-10,0.01291549665014884,0.359,117952520155.508,328255940220.712,30.464
46,200.00000000000003,1e-13,2.782559402207126e-10,0.021544346900318832,0.421,91326352637.124,216810053720.006,46.123
47,200.00000000000003,1e-13,2.782559402207126e-10,0.03593813663804626,0.471,70710678118.655,150000000000.0,66.667
48,200.00000000000003,1e-13,2.782559402207126e-10,0.05994842503189409,0.498,54748710045.029,109948425031.894,90.952
49,200.00000000000003,1e-13,2.782559402207126e-10,0.1,0.493,42389937861.506,85938136638.046,116.363
50,200.00000000000003,1e-13,3.593813663804626e-10,0.001,0.132,372998619448.325,2832559402207.126,3.53
51,200.00000000000003,1e-13,3.593813663804626e-10,0.0016681005372000592,0.168,288799284729.036,1718100537200.059,5.82
52,200.00000000000003,1e-13,3.593813663804626e-10,0.0027825594022071257,0.213,223606797749.979,1050000000000.0,9.524
53,200.00000000000003,1e-13,3.593813663804626e-10,0.004641588833612777,0.267,173130622698.433,649484250318.942,15.397
54,200.00000000000003,1e-13,3.593813663804626e-10,0.007742636826811269,0.327,134048753515.365,409381366380.463,24.427
55,200.00000000000003,1e-13,3.593813663804626e-10,0.01291549665014884,0.391,103789081555.621,265443469003.188,37.673
56,200.00000000000003,1e-13,3.593813663804626e-10,0.021544346900318832,0.449,80360116507.347,179154966501.488,55.818
57,200.00000000000003,1e-13,3.593813663804626e-10,0.03593813663804626,0.488,62219919747.663,127426368268.113,78.477
58,200.00000000000003,1e-13,3.593813663804626e-10,0.05994842503189409,0.5,48174624199.95,96415888336.128,103.717
59,200.00000000000003,1e-13,3.593813663804626e-10,0.1,0.479,37299861944.832,77825594022.071,128.492
60,200.00000000000003,1e-13,4.6415888336127727e-10,0.001,0.149,328209893972.736,2204434690031.886,4.536
61,200.00000000000003,1e-13,4.6415888336127727e-10,0.0016681005372000592,0.189,254121001199.712,1341549665014.885,7.454
62,200.00000000000003,1e-13,4.6415888336127727e-10,0.0027825594022071257,0.239,196756662235.504,824263682681.128,12.132
63,200.00000000000003,1e-13,4.6415888336127727e-10,0.004641588833612777,0.296,152341537894.508,514158883361.279,19.449
64,200.00000000000003,1e-13,4.6415888336127727e-10,0.007742636826811269,0.359,117952520155.509,328255940220.713,30.464
65,200.00000000000003,1e-13,4.6415888336127727e-10,0.01291549665014884,0.421,91326352637.124,216810053720.006,46.123
66,200.00000000000003,1e-13,4.6415888336127727e-10,0.021544346900318832,0.471,70710678118.655,150000000000.0,66.667
67,200.00000000000003,1e-13,4.6415888336127727e-10,0.03593813663804626,0.498,54748710045.029,109948425031.894,90.952
68,200.00000000000003,1e-13,4.6415888336127727e-10,0.05994842503189409,0.493,42389937861.506,85938136638.046,116.363
69,200.00000000000003,1e-13,4.6415888336127727e-10,0.1,0.459,32820989397.274,71544346900.319,139.773
70,200.00000000000003,1e-13,5.994842503189421e-10,0.001,0.168,288799284729.036,1718100537200.056,5.82
71,200.00000000000003,1e-13,5.994842503189421e-10,0.0016681005372000592,0.213,223606797749.979,1049999999999.998,9.524
72,200.00000000000003,1e-13,5.994842503189421e-10,0.0027825594022071257,0.267,173130622698.432,649484250318.94,15.397
73,200.00000000000003,1e-13,5.994842503189421e-10,0.004641588833612777,0.327,134048753515.365,409381366380.462,24.427
74,200.00000000000003,1e-13,5.994842503189421e-10,0.007742636826811269,0.391,103789081555.621,265443469003.188,37.673
75,200.00000000000003,1e-13,5.994842503189421e-10,0.01291549665014884,0.449,80360116507.347,179154966501.488,55.818
76,200.00000000000003,1e-13,5.994842503189421e-10,0.021544346900318832,0.488,62219919747.663,127426368268.113,78.477
77,200.00000000000003,1e-13,5.994842503189421e-10,0.03593813663804626,0.5,48174624199.95,96415888336.128,103.717
78,200.00000000000003,1e-13,5.994842503189421e-10,0.05994842503189409,0.479,37299861944.832,77825594022.071,128.492
79,200.00000000000003,1e-13,5.994842503189421e-10,0.1,0.433,28879928472.904,66681005372.001,149.968
80,200.00000000000003,1e-13,7.742636826811277e-10,0.001,0.189,254121001199.712,1341549665014.883,7.454
81,200.00000000000003,1e-13,7.742636826811277e-10,0.0016681005372000592,0.239,196756662235.504,824263682681.126,12.132
82,200.00000000000003,1e-13,7.742636826811277e-10,0.0027825594022071257,0.296,152341537894.508,514158883361.277,19.449
83,200.00000000000003,1e-13,7.742636826811277e-10,0.004641588833612777,0.359,117952520155.508,328255940220.712,30.464
84,200.00000000000003,1e-13,7.742636826811277e-10,0.007742636826811269,0.421,91326352637.124,216810053720.006,46.123
85,200.00000000000003,1e-13,7.742636826811277e-10,0.01291549665014884,0.471,70710678118.655,150000000000.0,66.667
86,200.00000000000003,1e-13,7.742636826811277e-10,0.021544346900318832,0.498,54748710045.029,109948425031.894,90.952
87,200.00000000000003,1e-13,7.742636826811277e-10,0.03593813663804626,0.493,42389937861.506,85938136638.046,116.363
88,200.00000000000003,1e-13,7.742636826811277e-10,0.05994842503189409,0.459,32820989397.274,71544346900.319,139.773
89,200.00000000000003,1e-13,7.742636826811277e-10,0.1,0.404,25412100119.971,62915496650.149,158.943
90,200.00000000000003,1e-13,1e-09,0.001,0.213,223606797749.979,1050000000000.0,9.524
91,200.00000000000003,1e-13,1e-09,0.0016681005372000592,0.267,173130622698.433,649484250318.941,15.397
92,200.00000000000003,1e-13,1e-09,0.0027825594022071257,0.327,134048753515.365,409381366380.462,24.427
93,200.00000000000003,1e-13,1e-09,0.004641588833612777,0.391,103789081555.621,265443469003.188,37.673
94,200.00000000000003,1e-13,1e-09,0.007742636826811269,0.449,80360116507.347,179154966501.488,55.818
95,200.00000000000003,1e-13,1e-09,0.01291549665014884,0.488,62219919747.663,127426368268.113,78.477
96,200.00000000000003,1e-13,1e-09,0.021544346900318832,0.5,48174624199.95,96415888336.128,103.717
97,200.00000000000003,1e-13,1e-09,0.03593813663804626,0.479,37299861944.832,77825594022.071,128.492
98,200.00000000000003,1e-13,1e-09,0.05994842503189409,0.433,28879928472.904,66681005372.001,149.968
99,200.00000000000003,1e-13,1e-09,0.1,0.373,22360679774.998,60000000000.0,166.667
100,200.00000000000003,2.782559402207126e-13,1e-10,0.001,0.042,423899378615.057,10017969068319.021,0.359
101,200.00000000000003,2.782559402207126e-13,1e-10,0.0016681005372000592,0.055,328209893972.735,6012811571508.432,0.598
102,200.00000000000003,2.782559402207126e-13,1e-10,0.0027825594022071257,0.07,254121001199.712,3611782732123.648,0.995
103,200.00000000000003,2.782559402207126e-13,1e-10,0.004641588833612777,0.091,196756662235.504,2172403758350.908,1.654
104,200.00000000000003,2.782559402207126e-13,1e-10,0.007742636826811269,0.116,152341537894.508,1309518733333.907,2.744
105,200.00000000000003,2.782559402207126e-13,1e-10,0.01291549665014884,0.149,117952520155.508,792232751000.15,4.536
106,200.00000000000003,2.782559402207126e-13,1e-10,0.021544346900318832,0.189,91326352637.124,482127951680.301,7.454
107,200.00000000000003,2.782559402207126e-13,1e-10,0.03593813663804626,0.239,70710678118.655,296225008539.736,12.132
108,200.00000000000003,2.782559402207126e-13,1e-10,0.05994842503189409,0.296,54748710045.029,184779122039.029,19.449
109,200.00000000000003,2.782559402207126e-13,1e-10,0.1,0.359,42389937861.506,117969068319.023,30.464
110,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.001,0.048,372998619448.325,7760605895130.3,0.463
111,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.0016681005372000592,0.062,288799284729.036,4659557901931.806,0.771
112,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.0027825594022071257,0.08,223606797749.979,2800528470526.149,1.283
113,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.004641588833612777,0.103,173130622698.433,1686069605519.084,2.131
114,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.007742636826811269,0.132,134048753515.365,1017969068319.024,3.53
115,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.01291549665014884,0.168,103789081555.621,617453318637.965,5.82
116,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.021544346900318832,0.213,80360116507.347,377350434699.486,9.524
117,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.03593813663804626,0.267,62219919747.663,233412537322.212,15.397
118,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.05994842503189409,0.327,48174624199.95,147124034820.512,24.427
119,200.00000000000003,2.782559402207126e-13,1.2915496650148827e-10,0.1,0.391,37299861944.832,95395436587.136,37.673
120,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.001,0.055,328209893972.736,6012811571508.444,0.598
121,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.0016681005372000592,0.07,254121001199.712,3611782732123.656,0.995
122,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.0027825594022071257,0.091,196756662235.504,2172403758350.909,1.654
123,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.004641588833612777,0.116,152341537894.508,1309518733333.91,2.744
124,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.007742636826811269,0.149,117952520155.509,792232751000.152,4.536
125,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.01291549665014884,0.189,91326352637.124,482127951680.302,7.454
126,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.021544346900318832,0.239,70710678118.655,296225008539.736,12.132
127,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.03593813663804626,0.296,54748710045.029,184779122039.029,19.449
128,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.05994842503189409,0.359,42389937861.506,117969068319.023,30.464
129,200.00000000000003,2.782559402207126e-13,1.6681005372000558e-10,0.1,0.421,32820989397.274,77917493350.917,46.123
130,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.001,0.062,288799284729.036,4659557901931.796,0.771
131,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.0016681005372000592,0.08,223606797749.979,2800528470526.143,1.283
132,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.0027825594022071257,0.103,173130622698.432,1686069605519.079,2.131
133,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.004641588833612777,0.132,134048753515.365,1017969068319.022,3.53
134,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.007742636826811269,0.168,103789081555.621,617453318637.963,5.82
135,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.01291549665014884,0.213,80360116507.347,377350434699.485,9.524
136,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.021544346900318832,0.267,62219919747.663,233412537322.211,15.397
137,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.03593813663804626,0.327,48174624199.95,147124034820.511,24.427
138,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.05994842503189409,0.391,37299861944.832,95395436587.136,37.673
139,200.00000000000003,2.782559402207126e-13,2.1544346900318867e-10,0.1,0.449,28879928472.904,64384956655.151,55.818
140,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.001,0.07,254121001199.712,3611782732123.649,0.995
141,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.0016681005372000592,0.091,196756662235.504,2172403758350.906,1.654
142,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.0027825594022071257,0.116,152341537894.508,1309518733333.906,2.744
143,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.004641588833612777,0.149,117952520155.508,792232751000.15,4.536
144,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.007742636826811269,0.189,91326352637.124,482127951680.301,7.454
145,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.01291549665014884,0.239,70710678118.655,296225008539.735,12.132
146,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.021544346900318832,0.296,54748710045.029,184779122039.029,19.449
147,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.03593813663804626,0.359,42389937861.506,117969068319.023,30.464
148,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.05994842503189409,0.421,32820989397.274,77917493350.917,46.123
149,200.00000000000003,2.782559402207126e-13,2.782559402207126e-10,0.1,0.471,25412100119.971,53907204957.069,66.667
150,200.00000000000003,2.782559402207126e-13,3.593813663804626e-10,0.001,0.08,223606797749.979,2800528470526.149,1.283
151,200.00000000000003,2.782559402207126e-13,3.593813663804626e-10,0.0016681005372000592,0.103,173130622698.433,1686069605519.082,2.131
152,200.00000000000003,2.782559402207126e-13,3.593813663804626e-10,0.0027825594022071257,0.132,134048753515.365,1017969068319.023,3.53
153,200.00000000000003,2.782559402207126e-13,3.593813663804626e-10,0.004641588833612777,0.168,103789081555.621,617453318637.965,5.82
154,200.00000000000003,2.782559402207126e-13,3.593813663804626e-10,0.007742636826811269,0.213,80360116507.347,377350434699.486,9.524
155,200.00000000000003,2.782559402207126e-13,3.593813663804626e-10,0.01291549665014884,0.267,62219919747.663,233412537322.212,15.397
156,200.00000000000003,2.782559402207126e-13,3.593813663804626e-10,0.021544346900318832,0.327,48174624199.95,147124034820.512,24.427
157,200.00000000000003,2.782559402207126e-13,3.593813663804626e-10,0.03593813663804626,0.391,37299861944.832,95395436587.136,37.673
158,200.00000000000003,2.782559402207126e-13,3.593813663804626e-10,0.05994842503189409,0.449,28879928472.904,64384956655.151,55.818
159,200.00000000000003,2.782559402207126e-13,3.593813663804626e-10,0.1,0.488,22360679774.998,45794662341.094,78.477
160,200.00000000000003,2.782559402207126e-13,4.6415888336127727e-10,0.001,0.091,196756662235.504,2172403758350.91,1.654
161,200.00000000000003,2.782559402207126e-13,4.6415888336127727e-10,0.0016681005372000592,0.116,152341537894.508,1309518733333.908,2.744
162,200.00000000000003,2.782559402207126e-13,4.6415888336127727e-10,0.0027825594022071257,0.149,117952520155.508,792232751000.151,4.536
163,200.00000000000003,2.782559402207126e-13,4.6415888336127727e-10,0.004641588833612777,0.189,91326352637.124,482127951680.302,7.454
164,200.00000000000003,2.782559402207126e-13,4.6415888336127727e-10,0.007742636826811269,0.239,70710678118.655,296225008539.736,12.132
165,200.00000000000003,2.782559402207126e-13,4.6415888336127727e-10,0.01291549665014884,0.296,54748710045.029,184779122039.029,19.449
166,200.00000000000003,2.782559402207126e-13,4.6415888336127727e-10,0.021544346900318832,0.359,42389937861.506,117969068319.023,30.464
167,200.00000000000003,2.782559402207126e-13,4.6415888336127727e-10,0.03593813663804626,0.421,32820989397.274,77917493350.917,46.123
168,200.00000000000003,2.782559402207126e-13,4.6415888336127727e-10,0.05994842503189409,0.471,25412100119.971,53907204957.069,66.667
169,200.00000000000003,2.782559402207126e-13,4.6415888336127727e-10,0.1,0.498,19675666223.55,39513415219.342,90.952
170,200.00000000000003,2.782559402207126e-13,5.994842503189421e-10,0.001,0.103,173130622698.432,1686069605519.079,2.131
171,200.00000000000003,2.782559402207126e-13,5.994842503189421e-10,0.0016681005372000592,0.132,134048753515.365,1017969068319.021,3.53
172,200.00000000000003,2.782559402207126e-13,5.994842503189421e-10,0.0027825594022071257,0.168,103789081555.621,617453318637.963,5.82
173,200.00000000000003,2.782559402207126e-13,5.994842503189421e-10,0.004641588833612777,0.213,80360116507.347,377350434699.485,9.524
174,200.00000000000003,2.782559402207126e-13,5.994842503189421e-10,0.007742636826811269,0.267,62219919747.663,233412537322.211,15.397
175,200.00000000000003,2.782559402207126e-13,5.994842503189421e-10,0.01291549665014884,0.327,48174624199.95,147124034820.511,24.427
176,200.00000000000003,2.782559402207126e-13,5.994842503189421e-10,0.021544346900318832,0.391,37299861944.832,95395436587.136,37.673
177,200.00000000000003,2.782559402207126e-13,5.994842503189421e-10,0.03593813663804626,0.449,28879928472.904,64384956655.151,55.818
178,200.00000000000003,2.782559402207126e-13,5.994842503189421e-10,0.05994842503189409,0.488,22360679774.998,45794662341.094,78.477
179,200.00000000000003,2.782559402207126e-13,5.994842503189421e-10,0.1,0.5,17313062269.843,34650073691.024,103.717
180,200.00000000000003,2.782559402207126e-13,7.742636826811277e-10,0.001,0.116,152341537894.508,1309518733333.906,2.744
181,200.00000000000003,2.782559402207126e-13,7.742636826811277e-10,0.0016681005372000592,0.149,117952520155.508,792232751000.149,4.536
182,200.00000000000003,2.782559402207126e-13,7.742636826811277e-10,0.0027825594022071257,0.189,91326352637.124,482127951680.3,7.454
183,200.00000000000003,2.782559402207126e-13,7.742636826811277e-10,0.004641588833612777,0.239,70710678118.655,296225008539.735,12.132
184,200.00000000000003,2.782559402207126e-13,7.742636826811277e-10,0.007742636826811269,0.296,54748710045.029,184779122039.029,19.449
185,200.00000000000003,2.782559402207126e-13,7.742636826811277e-10,0.01291549665014884,0.359,42389937861.506,117969068319.023,30.464
186,200.00000000000003,2.782559402207126e-13,7.742636826811277e-10,0.021544346900318832,0.421,32820989397.274,77917493350.917,46.123
187,200.00000000000003,2.782559402207126e-13,7.742636826811277e-10,0.03593813663804626,0.471,25412100119.971,53907204957.069,66.667
188,200.00000000000003,2.782559402207126e-13,7.742636826811277e-10,0.05994842503189409,0.498,19675666223.55,39513415219.342,90.952
189,200.00000000000003,2.782559402207126e-13,7.742636826811277e-10,0.1,0.493,15234153789.451,30884564969.172,116.363
190,200.00000000000003,2.782559402207126e-13,1e-09,0.001,0.132,134048753515.365,1017969068319.023,3.53
191,200.00000000000003,2.782559402207126e-13,1e-09,0.0016681005372000592,0.168,103789081555.621,617453318637.964,5.82
192,200.00000000000003,2.782559402207126e-13,1e-09,0.0027825594022071257,0.213,80360116507.347,377350434699.486,9.524
193,200.00000000000003,2.782559402207126e-13,1e-09,0.004641588833612777,0.267,62219919747.663,233412537322.212,15.397
194,200.00000000000003,2.782559402207126e-13,1e-09,0.007742636826811269,0.327,48174624199.95,147124034820.512,24.427
195,200.00000000000003,2.782559402207126e-13,1e-09,0.01291549665014884,0.391,37299861944.832,95395436587.136,37.673
196,200.00000000000003,2.782559402207126e-13,1e-09,0.021544346900318832,0.449,28879928472.904,64384956655.151,55.818
197,200.00000000000003,2.782559402207126e-13,1e-09,0.03593813663804626,0.488,22360679774.998,45794662341.094,78.477
198,200.00000000000003,2.782559402207126e-13,1e-09,0.05994842503189409,0.5,17313062269.843,34650073691.024,103.717
199,200.00000000000003,2.782559402207126e-13,1e-09,0.1,0.479,13404875351.537,27969068319.023,128.492
200,200.00000000000003,7.742636826811278e-13,1e-10,0.001,0.025,254121001199.712,10006457748325.076,0.129
201,200.00000000000003,7.742636826811278e-13,1e-10,0.0016681005372000592,0.033,196756662235.504,6001300251514.482,0.215
202,200.00000000000003,7.742636826811278e-13,1e-10,0.0027825594022071257,0.042,152341537894.508,3600271412129.7,0.359
203,200.00000000000003,7.742636826811278e-13,1e-10,0.004641588833612777,0.055,117952520155.508,2160892438356.959,0.598
204,200.00000000000003,7.742636826811278e-13,1e-10,0.007742636826811269,0.07,91326352637.124,1298007413339.958,0.995
205,200.00000000000003,7.742636826811278e-13,1e-10,0.01291549665014884,0.091,70710678118.655,780721431006.201,1.654
206,200.00000000000003,7.742636826811278e-13,1e-10,0.021544346900318832,0.116,54748710045.029,470616631686.352,2.744
207,200.00000000000003,7.742636826811278e-13,1e-10,0.03593813663804626,0.149,42389937861.506,284713688545.787,4.536
208,200.00000000000003,7.742636826811278e-13,1e-10,0.05994842503189409,0.189,32820989397.274,173267802045.08,7.454
209,200.00000000000003,7.742636826811278e-13,1e-10,0.1,0.239,25412100119.971,106457748325.074,12.132
210,200.00000000000003,7.742636826811278e-13,1.2915496650148827e-10,0.001,0.029,223606797749.979,7749094575136.353,0.167
211,200.00000000000003,7.742636826811278e-13,1.2915496650148827e-10,0.0016681005372000592,0.037,173130622698.433,4648046581937.856,0.278
212,200.00000000000003,7.742636826811278e-13,1.2915496650148827e-10,0.0027825594022071257,0.048,134048753515.365,2789017150532.2,0.463
213,200.00000000000003,7.742636826811278e-13,1.2915496650148827e-10,0.004641588833612777,0.062,103789081555.621,1674558285525.135,0.771
214,200.00000000000003,7.742636826811278e-13,1.2915496650148827e-10,0.007742636826811269,0.08,80360116507.347,1006457748325.075,1.283
215,200.00000000000003,7.742636826811278e-13,1.2915496650148827e-10,0.01291549665014884,0.103,62219919747.663,605941998644.016,2.131
216,200.00000000000003,7.742636826811278e-13,1.2915496650148827e-10,0.021544346900318832,0.132,48174624199.95,365839114705.537,3.53
217,200.00000000000003,7.742636826811278e-13,1.2915496650148827e-10,0.03593813663804626,0.168,37299861944.832,221901217328.263,5.82
218,200.00000000000003,7.742636826811278e-13,1.2915496650148827e-10,0.05994842503189409,0.213,28879928472.904,135612714826.563,9.524
219,200.00000000000003,7.742636826811278e-13,1.2915496650148827e-10,0.1,0.267,22360679774.998,83884116593.187,15.397
220,200.00000000000003,7.742636826811278e-13,1.6681005372000558e-10,0.001,0.033,196756662235.504,6001300251514.494,0.215
221,200.00000000000003,7.742636826811278e-13,1.6681005372000558e-10,0.0016681005372000592,0.042,152341537894.508,3600271412129.708,0.359
222,200.00000000000003,7.742636826811278e-13,1.6681005372000558e-10,0.0027825594022071257,0.055,117952520155.508,2160892438356.961,0.598
223,200.00000000000003,7.742636826811278e-13,1.6681005372000558e-10,0.004641588833612777,0.07,91326352637.124,1298007413339.961,0.995
224,200.00000000000003,7.742636826811278e-13,1.6681005372000558e-10,0.007742636826811269,0.091,70710678118.655,780721431006.203,1.654
225,200.00000000000003,7.742636826811278e-13,1.6681005372000558e-10,0.01291549665014884,0.116,54748710045.029,470616631686.353,2.744
226,200.00000000000003,7.742636826811278e-13,1.6681005372000558e-10,0.021544346900318832,0.149,42389937861.506,284713688545.787,4.536
227,200.00000000000003,7.742636826811278e-13,1.6681005372000558e-10,0.03593813663804626,0.189,32820989397.274,173267802045.081,7.454
228,200.00000000000003,7.742636826811278e-13,1.6681005372000558e-10,0.05994842503189409,0.239,25412100119.971,106457748325.075,12.132
229,200.00000000000003,7.742636826811278e-13,1.6681005372000558e-10,0.1,0.296,19675666223.55,66406173356.969,19.449
230,200.00000000000003,7.742636826811278e-13,2.1544346900318867e-10,0.001,0.037,173130622698.432,4648046581937.848,0.278
231,200.00000000000003,7.742636826811278e-13,2.1544346900318867e-10,0.0016681005372000592,0.048,134048753515.365,2789017150532.195,0.463
232,200.00000000000003,7.742636826811278e-13,2.1544346900318867e-10,0.0027825594022071257,0.062,103789081555.621,1674558285525.13,0.771
233,200.00000000000003,7.742636826811278e-13,2.1544346900318867e-10,0.004641588833612777,0.08,80360116507.347,1006457748325.073,1.283
234,200.00000000000003,7.742636826811278e-13,2.1544346900318867e-10,0.007742636826811269,0.103,62219919747.663,605941998644.015,2.131
